name,location,price,price_for,room_type,beds,rating,rating_title
Dar Al Maamon Furnished Apartment,Jeddah,275,"1 night, 2 adults",Apartment,"3 beds
(2 singles, 1 extra-large double)",8.1,Very good
الحمدانية الراقي للشقق المفروشة,Jeddah,95,"1 night, 2 adults",One-Bedroom Apartment,"2 beds
(1 sofa bed, 1 large double)",6,Review score
Mora Hotel,Jeddah,250,"1 night, 2 adults",Double or Twin Room,Multiple bed types,7.9,Good
Hoor Park - حور بارك,Jeddah,279,"1 night, 2 adults",King Room,1 extra-large double bed,7.7,Good
جازلي للأجنحة الفندقية,Jeddah,157,"1 night, 2 adults",One-Bedroom Apartment,1 extra-large double bed,7.4,Good
Hoor Park - حور بارك,Jeddah,279,"1 night, 2 adults",Standard Double Room,2 bunk beds,7.7,Good
جازلي للأجنحة الفندقية,Jeddah,157,"1 night, 2 adults",One-Bedroom Apartment,1 extra-large double bed,7.4,Good
منازل جدة للوحدات السكنية,Jeddah,203,"1 night, 2 adults",Two-Bedroom Apartment,"4 beds
(2 singles, 1 sofa bed, 1 large double)",7.4,Good
Qasr Al Hamra ApartHotel Al Hamra Branch,Jeddah,144,"1 night, 2 adults",Deluxe Studio,1 extra-large double bed,7.1,Good
Semat ApartHotel,Jeddah,300,"1 night, 2 adults",One-Bedroom Apartment,1 large double bed,8.3,Very good
Hoor Park - حور بارك,Jeddah,279,"1 night, 2 adults",Standard Double Room,2 bunk beds,7.7,Good
جازلي للأجنحة الفندقية,Jeddah,157,"1 night, 2 adults",One-Bedroom Apartment,1 extra-large double bed,7.4,Good
منازل جدة للوحدات السكنية,Jeddah,203,"1 night, 2 adults",Two-Bedroom Apartment,"4 beds
(2 singles, 1 sofa bed, 1 large double)",7.4,Good
Qasr Al Hamra ApartHotel Al Hamra Branch,Jeddah,144,"1 night, 2 adults",Deluxe Studio,1 extra-large double bed,7.1,Good
OYO 586 Al Tamayoz Al Raqi Hira,Jeddah,154,"1 night, 2 adults",One-Bedroom Apartment,1 extra-large double bed,7.7,Good
Mira Waterfront Hotel Jeddah,Jeddah,285,"1 night, 2 adults",Superior King Room with City View,1 extra-large double bed,6.4,Review score
Emerald Hotel,Jeddah,325,"1 night, 2 adults",Deluxe King Room,1 extra-large double bed,8.5,Very good
Afaq Jeddah 3,Jeddah,160,"1 night, 2 adults",Budget Double Room,1 large double bed,7.2,Good
الحماد للشقق الفندقية,Jeddah,150,"1 night, 2 adults",King Room,1 large double bed,7.2,Good
